claim_type,claim_amount,fraudulent,coverage,deductible,townsize,gender,edcat,job_start_date,retire,income,marital
Theft/Vandalism,25.0845,Yes,421,1000,"> 250,000",Female,Did not complete high school,2/25/00,No,56,Unmarried
Wind/Hail,2.5851,Yes,78,1000,"10,000-49,999",Male,High school degree,2/8/08,No,23,Married
Fire/Smoke,288,No,288,1000,"< 2,500",Male,High school degree,8/13/92,No,66,Unmarried
Contamination,41.124,No,109,1000,"2,500-9,999",Female,High school degree,3/4/05,No,50,Married
Theft/Vandalism,10.81,No,199,1000,"> 250,000",Male,College degree,12/1/00,No,38,Unmarried
Theft/Vandalism,5.796,No,125,2000,"2,500-9,999",Male,College degree,10/26/05,No,57,Unmarried
Theft/Vandalism,3.984,No,117,1000,"50,000-249,999",Male,High school degree,5/22/99,Yes,12,Married
Water damage,8.463,No,80,500,"10,000-49,999",Female,Did not complete high school,7/12/93,Yes,17,Unmarried
Wind/Hail,3.674,No,138,1000,"50,000-249,999",Female,Post-undergraduate degree,6/4/93,No,90,Married
Theft/Vandalism,51.087,No,1050,3000,"50,000-249,999",Female,Did not complete high school,5/23/91,No,104,Unmarried
Fire/Smoke,288,No,288,1000,"> 250,000",Female,College degree,11/25/02,No,97,Unmarried
Contamination,50.14,No,125,2000,"10,000-49,999",Female,Did not complete high school,2/8/05,No,32,Unmarried
Theft/Vandalism,27.119,No,478,2000,"10,000-49,999",Male,Did not complete high school,2/13/04,No,38,Unmarried
Theft/Vandalism,2.838,No,147,1000,"10,000-49,999",Female,High school degree,6/25/78,Yes,29,Married
Wind/Hail,6.42,No,79,1000,"50,000-249,999",Male,High school degree,5/26/95,No,158,Unmarried
Contamination,206,No,206,2000,"> 250,000",Female,High school degree,6/15/91,No,76,Unmarried
Wind/Hail,17.08,No,417,3000,"< 2,500",Male,High school degree,11/13/06,No,58,Unmarried
Water damage,10.734,No,110,2000,"> 250,000",Female,College degree,9/22/86,No,160,Married
Fire/Smoke,185.283,No,482,2000,"2,500-9,999",Female,College degree,3/24/95,No,297,Unmarried
Theft/Vandalism,3.2,No,59,200,"2,500-9,999",Male,College degree,11/17/06,No,20,Unmarried
Water damage,45.24555,Yes,435,1000,"50,000-249,999",Female,High school degree,1/3/91,Yes,31,Married
Fire/Smoke,51.294,No,143,1000,"> 250,000",Female,High school degree,3/18/06,No,21,Married
Fire/Smoke,33.592,No,77,1000,"2,500-9,999",Female,High school degree,11/29/07,No,34,Married
Theft/Vandalism,15.669,No,361,1000,"> 250,000",Male,Some college,5/27/04,No,60,Married
Fire/Smoke,162.066,No,412,2000,"2,500-9,999",Male,High school degree,10/17/91,No,158,Married
Water damage,7.642,No,74,500,"2,500-9,999",Female,High school degree,5/29/07,No,31,Unmarried
Theft/Vandalism,32.512,No,215,2000,"2,500-9,999",Female,High school degree,2/11/04,No,27,Unmarried
Fire/Smoke,38.302,No,78,1000,"10,000-49,999",Male,Did not complete high school,5/7/82,Yes,57,Married
Water damage,7.09695,Yes,70,500,"50,000-249,999",Male,High school degree,3/10/94,No,55,Unmarried
Fire/Smoke,123,No,123,500,"50,000-249,999",Female,Did not complete high school,8/27/96,Yes,16,Unmarried
Contamination,27.272,No,84,1000,"2,500-9,999",Male,Some college,6/1/08,No,16,Married
Fire/Smoke,205.233,No,436,1000,"< 2,500",Male,High school degree,10/13/04,No,49,Unmarried
Theft/Vandalism,3.401,No,138,500,"50,000-249,999",Male,Some college,7/14/08,No,34,Unmarried
Water damage,8.614,No,70,3000,"50,000-249,999",Female,College degree,11/20/01,Yes,16,Married
Wind/Hail,4.78275,Yes,102,1000,"2,500-9,999",Male,High school degree,10/15/07,No,27,Married
Fire/Smoke,112.407,No,264,1000,"2,500-9,999",Female,High school degree,10/3/87,No,70,Married
Wind/Hail,13.343,No,360,3000,"50,000-249,999",Male,Some college,8/13/08,No,24,Married
Wind/Hail,32.274,No,774,2000,"50,000-249,999",Female,Did not complete high school,2/20/92,No,99,Married
Contamination,102,No,102,1000,"50,000-249,999",Female,Did not complete high school,2/17/05,No,29,Unmarried
Wind/Hail,5.099,No,102,1000,"50,000-249,999",Male,Did not complete high school,9/13/00,No,43,Married
Wind/Hail,11.1573,Yes,201,500,"50,000-249,999",Male,Some college,3/26/99,No,32,Married
Wind/Hail,31.752,No,514,2000,"> 250,000",Female,College degree,10/25/91,No,130,Unmarried
Water damage,28.665,Yes,227,3000,"> 250,000",Female,Some college,9/6/07,No,23,Married
Fire/Smoke,93,No,93,1000,"> 250,000",Female,Post-undergraduate degree,3/15/94,Yes,22,Unmarried
Fire/Smoke,317.211,No,753,3000,"2,500-9,999",Female,College degree,8/2/71,No,183,Unmarried
Fire/Smoke,154,No,154,1000,"< 2,500",Male,Some college,11/6/78,No,75,Married
Theft/Vandalism,17.196,No,353,2000,"> 250,000",Female,Did not complete high school,2/20/92,No,45,Unmarried
Water damage,12.546,No,166,1000,"50,000-249,999",Female,High school degree,10/21/02,No,35,Unmarried
Contamination,1662,No,1662,2000,"50,000-249,999",Male,Some college,6/28/92,No,182,Married
Wind/Hail,13.455,No,362,1000,"> 250,000",Female,High school degree,3/27/03,No,42,Married
Wind/Hail,5.202,No,107,3000,"< 2,500",Female,High school degree,10/27/01,Yes,27,Married
Wind/Hail,2.958,No,73,1000,"< 2,500",Female,Some college,10/29/05,No,54,Unmarried
Theft/Vandalism,4.946,No,95,1000,"< 2,500",Male,Some college,8/4/07,No,21,Married
Wind/Hail,10.2312,Yes,152,2000,"> 250,000",Male,Did not complete high school,4/25/08,No,27,Married
Wind/Hail,16.026,No,219,3000,"> 250,000",Female,Did not complete high school,6/1/99,No,65,Married
Wind/Hail,27.545,No,484,2000,"> 250,000",Male,High school degree,1/6/90,Yes,73,Unmarried
Wind/Hail,5.451,No,71,500,"50,000-249,999",Female,College degree,3/28/02,No,83,Unmarried
Water damage,83.944,No,279,3000,"2,500-9,999",Female,Did not complete high school,6/20/97,No,44,Married
Wind/Hail,3.069,No,66,1000,"> 250,000",Female,High school degree,11/23/08,No,18,Married
Water damage,8.208,No,89,3000,"50,000-249,999",Male,High school degree,5/8/91,No,52,Unmarried
Wind/Hail,8.97,No,167,500,"> 250,000",Female,High school degree,5/5/05,No,96,Married
Wind/Hail,7.779,No,115,2000,"> 250,000",Female,Some college,7/17/08,No,42,Married
Fire/Smoke,53.913,No,133,500,"50,000-249,999",Female,High school degree,11/19/80,Yes,11,Married
Wind/Hail,51.585,No,1015,3000,"50,000-249,999",Male,College degree,11/15/97,No,145,Married
Theft/Vandalism,8.555,No,211,3000,"10,000-49,999",Female,Did not complete high school,10/6/98,No,47,Unmarried
Wind/Hail,3.741,No,104,2000,"2,500-9,999",Female,High school degree,3/25/91,No,133,Unmarried
Water damage,3.306,No,69,500,"2,500-9,999",Female,College degree,2/19/08,No,20,Married
Theft/Vandalism,2.16,No,82,3000,"10,000-49,999",Female,College degree,3/30/08,No,34,Married
Fire/Smoke,52.152,No,136,1000,"2,500-9,999",Male,Some college,9/2/05,No,49,Unmarried
Theft/Vandalism,66.645,No,1012,3000,"50,000-249,999",Female,Did not complete high school,9/4/92,No,107,Unmarried
Wind/Hail,17.086,No,211,1000,"> 250,000",Male,Did not complete high school,9/19/06,No,22,Married
Water damage,44.384,No,416,1000,"50,000-249,999",Male,High school degree,12/27/01,No,94,Unmarried
Theft/Vandalism,3.045,No,62,1000,"> 250,000",Male,High school degree,8/16/05,No,23,Unmarried
Fire/Smoke,273,No,273,2000,"50,000-249,999",Female,High school degree,7/9/00,No,83,Unmarried
Wind/Hail,3.07,No,67,1000,"10,000-49,999",Male,College degree,3/31/01,Yes,13,Married
Water damage,420.842,No,1357,3000,"> 250,000",Male,Some college,6/3/06,No,69,Unmarried
Theft/Vandalism,4.127,No,61,1000,"10,000-49,999",Male,High school degree,4/3/08,No,25,Unmarried
Fire/Smoke,99,No,99,1000,"10,000-49,999",Male,High school degree,2/22/08,No,16,Married
Wind/Hail,7.703,No,105,1000,"< 2,500",Female,High school degree,2/18/08,No,31,Married
Wind/Hail,4.526,No,141,1000,"2,500-9,999",Female,High school degree,7/22/08,No,15,Unmarried
Theft/Vandalism,21.96,No,351,3000,"2,500-9,999",Female,College degree,12/5/05,No,99,Married
Theft/Vandalism,11.967,No,405,2000,"50,000-249,999",Female,Did not complete high school,8/10/91,No,92,Married
Fire/Smoke,40.627,No,94,1000,"2,500-9,999",Male,College degree,4/27/00,No,126,Married
Fire/Smoke,36.11,No,92,3000,"< 2,500",Male,Did not complete high school,10/30/06,No,34,Unmarried
Water damage,50.706,No,143,2000,"> 250,000",Male,Some college,6/15/08,No,23,Unmarried
Theft/Vandalism,3.581,No,141,3000,"10,000-49,999",Male,College degree,3/28/07,No,72,Unmarried
Theft/Vandalism,2.747,No,78,500,"50,000-249,999",Male,College degree,10/22/07,No,21,Married
Wind/Hail,9.252,No,209,3000,"> 250,000",Male,Did not complete high school,10/3/96,No,40,Unmarried
Theft/Vandalism,2.457,No,69,1000,"50,000-249,999",Male,College degree,1/6/08,No,37,Married
Fire/Smoke,237,No,237,3000,"< 2,500",Male,College degree,2/26/05,No,33,Married
Wind/Hail,86.171,No,1609,3000,"2,500-9,999",Male,Some college,1/29/94,No,186,Unmarried
Theft/Vandalism,30.505,No,638,3000,"10,000-49,999",Female,High school degree,6/6/01,No,69,Married
Theft/Vandalism,14.51,No,395,1000,"50,000-249,999",Male,College degree,1/8/89,No,57,Married
Contamination,105.718,No,247,1000,"> 250,000",Male,Post-undergraduate degree,8/23/06,No,46,Unmarried
Theft/Vandalism,12.214,No,236,500,"< 2,500",Female,High school degree,8/26/07,No,28,Married
Fire/Smoke,654.917,No,1644,3000,"10,000-49,999",Female,Post-undergraduate degree,4/24/90,No,241,Married
Water damage,22.796,No,313,1000,"> 250,000",Male,Some college,1/22/78,Yes,12,Unmarried
Contamination,27.855,No,75,1000,"10,000-49,999",Female,Post-undergraduate degree,3/19/04,No,65,Unmarried
Fire/Smoke,55.046,No,131,2000,"< 2,500",Female,High school degree,10/19/82,Yes,12,Unmarried
Theft/Vandalism,22.388,No,276,2000,"> 250,000",Female,Did not complete high school,4/29/75,Yes,45,Unmarried
Theft/Vandalism,5.928,No,123,3000,"10,000-49,999",Female,Some college,1/10/97,No,86,Married
Wind/Hail,55.056,No,1139,3000,"> 250,000",Male,Some college,4/4/92,No,137,Married
Water damage,52.112,No,510,2000,"< 2,500",Female,College degree,12/26/93,No,128,Married
Theft/Vandalism,7.383,No,181,2000,"50,000-249,999",Male,Post-undergraduate degree,7/25/05,No,107,Unmarried
Fire/Smoke,75.631,No,207,3000,"50,000-249,999",Male,High school degree,1/27/08,No,18,Married
Wind/Hail,8.313,No,147,2000,"50,000-249,999",Male,Some college,7/26/02,No,52,Married
Theft/Vandalism,7.482,No,100,3000,"10,000-49,999",Female,Some college,9/10/97,No,101,Unmarried
Contamination,134.743,No,341,3000,"10,000-49,999",Female,High school degree,8/12/08,No,32,Married
Theft/Vandalism,6.94995,Yes,75,3000,"50,000-249,999",Female,Some college,7/26/08,No,16,Married
Wind/Hail,7.486,No,119,1000,"50,000-249,999",Male,College degree,5/4/76,Yes,57,Married
Contamination,111.107,No,256,3000,"10,000-49,999",Male,Post-undergraduate degree,11/12/01,No,34,Married
Contamination,68.016,No,160,2000,"2,500-9,999",Male,College degree,7/17/89,Yes,69,Married
Theft/Vandalism,8.57,No,211,3000,"2,500-9,999",Male,High school degree,1/17/08,No,28,Married
Wind/Hail,3.386,No,71,2000,"> 250,000",Male,College degree,9/17/08,No,31,Married
Theft/Vandalism,20.459,No,533,3000,"10,000-49,999",Female,College degree,11/30/94,No,128,Unmarried
Fire/Smoke,70.352,No,163,500,"< 2,500",Male,College degree,2/25/06,No,176,Unmarried
Wind/Hail,8.70765,Yes,106,500,"10,000-49,999",Female,Did not complete high school,6/27/06,No,30,Unmarried
Fire/Smoke,38.779,No,110,1000,"50,000-249,999",Female,Post-undergraduate degree,1/14/99,No,28,Unmarried
Contamination,328.4862,Yes,785,1000,"50,000-249,999",Male,College degree,2/8/79,Yes,195,Unmarried
Contamination,111.691,No,318,1000,"> 250,000",Male,Did not complete high school,11/4/75,No,166,Married
Wind/Hail,36.185,No,684,1000,"50,000-249,999",Female,High school degree,9/26/84,No,147,Unmarried
Wind/Hail,2.348,No,68,1000,"10,000-49,999",Female,High school degree,3/30/07,No,18,Unmarried
Theft/Vandalism,12.747,No,92,500,"> 250,000",Male,High school degree,4/9/02,No,41,Married
Wind/Hail,5.066,No,87,500,"10,000-49,999",Male,Post-undergraduate degree,2/9/88,No,117,Married
Water damage,64.311,No,722,1000,"< 2,500",Female,College degree,5/24/97,No,128,Unmarried
Fire/Smoke,74.287,No,152,1000,"50,000-249,999",Male,Post-undergraduate degree,10/2/02,No,43,Married
Wind/Hail,3.2928,Yes,121,3000,"10,000-49,999",Female,High school degree,7/30/08,No,21,Married
Fire/Smoke,24.05,No,59,1000,"> 250,000",Female,Did not complete high school,11/4/94,Yes,9,Married
Fire/Smoke,141,Yes,141,1000,"10,000-49,999",Female,High school degree,5/6/04,No,51,Married
Theft/Vandalism,64.572,No,1198,3000,"50,000-249,999",Male,College degree,2/28/04,No,222,Unmarried
Water damage,64.46,No,689,3000,"> 250,000",Female,Post-undergraduate degree,9/3/96,No,27,Married
Theft/Vandalism,73.741,No,489,1000,"2,500-9,999",Male,High school degree,11/19/88,No,93,Married
Water damage,7.483,No,79,2000,"> 250,000",Male,College degree,9/2/08,No,26,Married
Fire/Smoke,115,No,115,1000,"50,000-249,999",Female,High school degree,9/6/07,No,59,Unmarried
Contamination,1199,No,1199,3000,"10,000-49,999",Female,Post-undergraduate degree,7/6/87,No,165,Unmarried
Fire/Smoke,87.606,No,200,1000,"50,000-249,999",Female,High school degree,6/23/08,No,21,Unmarried
Theft/Vandalism,2.736,No,96,1000,"2,500-9,999",Male,Did not complete high school,8/28/91,No,65,Married
Fire/Smoke,157.197,No,393,3000,"> 250,000",Male,High school degree,4/14/02,No,43,Unmarried
Water damage,9.3975,Yes,195,3000,"50,000-249,999",Male,Some college,5/8/08,No,44,Married
