  circum   weight   wingspan   cwidth   cheight   spec     age     sex
   67.0      8.75     196.0     23.50     16.5       1       1       M
   69.0      6.25     219.0     26.00     16.0       1       0       M
   62.0      8.00     207.0     27.00     15.0       1       1       F
   55.5      6.75     196.5     21.00     16.5       1       1       F
   61.0      6.75     198.0     21.00     15.5       1       1       F
   56.5     6.00      188.5     21.80    15.00       1       0       F
   65.5     7.00      212.6     27.00    16.00       1       1       F
   65.0     7.75      205.0     23.00    16.50       1       1       M
   68.0     8.75      188.0     26.50    16.50       1       1       F
   59.5     6.25      179.5     24.50    15.00       1       1       F
   62.5     5.75      196.0     22.50    16.00       1       1       F
   65.5     8.00      194.5     27.50    15.75       1       1       F
   63.5     6.50      186.5     27.00    15.00       1       1       F
   59.0     5.50      206.0     23.50    17.00       1       1       F
   65.0     7.30      191.0     22.70    15.50       1       1       F
   66.0     8.25      196.0     26.20    16.00       1       1       M
   64.5     7.50      195.3     23.20    15.30       1       1       F
   68.0     9.25      211.2     26.50    18.40       1       1       F
   64.0     6.50      198.0     25.00    16.50       1       1       M
   73.5     8.00      218.5     30.00    17.50       1       1       M
   63.5     6.75      182.0     23.50    18.00       1       1       M
   60.0     5.25      194.0     23.00    14.50       1       0       M
   63.5     6.80      197.0     23.50    16.30       1       1       F
   70.0     8.75      204.3     27.50    18.00       1       1       F
   64.6     6.25      203.0     24.10    15.00       1       1       F
   63.0     7.25      205.0     24.00    14.50       1       1       F
   66.5     8.50      208.6     23.50    16.00       1       1       M
   65.5     5.80      208.5     26.00    17.90       1       1       F
   64.5     7.25      213.0     22.50    17.80       1       1       M
   64.8     7.40      200.0     24.80    17.40       1       1       F
   65.0     6.25      196.3     24.20    16.70       1       1       F
   66.0     7.00      208.0     25.00    16.00       1       1       M
   57.5     4.10      186.0     21.75    13.00       1       0       M
   61.5     5.50      190.0     22.00    16.40       1       1       F
   63.5     7.30      196.0     24.50    16.30       1       1       M
   55.0     5.15      192.0     19.80    14.70       1       0       F
   65.5     7.50      199.2     21.00    16.60       1       1       M
   63.0     6.50      204.0     19.00    16.00       1       1       F
   66.0     8.75      210.0     21.50    17.50       1       1       M
   66.0     9.00      214.0     20.50    16.00       1       1       M
